id,vendor_id,invoice_no,date,amount,itc_claimed,payment_mode,eway_bill
T0001,V001,INV/2508/295,2025-08-01,459000,70017,NEFT,EWB179610695014
T0002,V001,INV/2510/219,2025-10-07,800000,122034,NEFT,EWB752510488265
T0003,V001,INV/2603/723,2026-03-11,453000,69102,NEFT,EWB979032121500
T0004,V001,INV/2603/869,2026-03-09,188000,28678,NEFT,EWB593769097149
T0005,V001,INV/2508/539,2025-08-23,724000,110441,NEFT,EWB499696028151
T0006,V001,INV/2507/303,2025-07-30,697000,106322,NEFT,EWB722688723195
T0007,V001,INV/2503/175,2025-03-09,455000,69407,NEFT,EWB776680108062
T0008,V002,INV/2601/446,2026-01-30,416000,63458,NEFT,EWB817189483218
T0009,V002,INV/2510/352,2025-10-02,189000,28831,NEFT,EWB247653600913
T0010,V002,INV/2512/874,2025-12-16,226000,34475,NEFT,EWB318508022292
T0011,V002,INV/2509/869,2025-09-28,779000,118831,NEFT,EWB865783006533
T0012,V003,INV/2602/741,2026-02-21,778000,118678,NEFT,EWB900838025375
T0013,V003,INV/2607/154,2026-07-03,142000,21661,NEFT,EWB242500087482
T0014,V003,INV/2506/357,2025-06-18,748000,114102,NEFT,EWB885074875924
T0015,V003,INV/2602/406,2026-02-06,536000,81763,NEFT,EWB369961710881
T0016,V003,INV/2504/542,2025-04-26,646000,98542,NEFT,EWB608829366258
T0017,V003,INV/2506/416,2025-06-17,448000,68339,NEFT,EWB232849272439
T0018,V003,INV/2606/164,2026-06-10,267000,40729,NEFT,EWB933294324183
T0019,V004,INV/2503/258,2025-03-23,589000,89847,NEFT,EWB146216687434
T0020,V004,INV/2602/184,2026-02-18,489000,74593,NEFT,EWB414929764707
T0021,V004,INV/2512/383,2025-12-04,330000,50339,NEFT,EWB340777251938
T0022,V004,INV/2510/236,2025-10-20,635000,96864,NEFT,EWB103429628343
T0023,V004,INV/2608/253,2026-08-29,96000,14644,NEFT,EWB186374082940
T0024,V004,INV/2604/629,2026-04-17,510000,77797,NEFT,EWB692124017881
T0025,V005,INV/2606/861,2026-06-23,516000,78712,NEFT,EWB228587484984
T0026,V005,INV/2503/823,2025-03-18,595000,90763,NEFT,EWB789421569344
T0027,V005,INV/2512/550,2025-12-09,353000,53847,NEFT,EWB761078885604
T0028,V005,INV/2510/701,2025-10-09,448000,68339,NEFT,EWB482340802212
T0029,V005,INV/2604/813,2026-04-07,127000,19373,NEFT,EWB671539737683
T0030,V006,INV/2504/242,2025-04-06,649000,99000,NEFT,EWB519153150967
T0031,V006,INV/2510/446,2025-10-23,571000,87102,NEFT,EWB324158998175
T0032,V006,INV/2606/909,2026-06-16,146000,22271,NEFT,EWB192183351602
T0033,V006,INV/2608/773,2026-08-01,120000,18305,NEFT,EWB504848936367
T0034,V006,INV/2505/841,2025-05-22,133000,20288,NEFT,EWB377660498750
T0035,V006,INV/2507/777,2025-07-30,444000,67729,NEFT,EWB518138296758
T0036,V006,INV/2512/337,2025-12-08,354000,54000,NEFT,EWB368604894208
T0037,V007,INV/2606/756,2026-06-20,383000,58424,NEFT,EWB749846989434
T0038,V007,INV/2506/973,2025-06-24,64000,9763,NEFT,EWB667363713604
T0039,V007,INV/2603/662,2026-03-24,527000,80390,NEFT,EWB215821961188
T0040,V007,INV/2509/385,2025-09-06,355000,54153,NEFT,EWB139855307130
T0041,V007,INV/2604/586,2026-04-03,648000,98847,NEFT,EWB587381428516
T0042,V007,INV/2505/957,2025-05-04,640000,97627,NEFT,EWB171333673738
T0043,V008,INV/2606/884,2026-06-25,245000,37373,NEFT,EWB550393715751
T0044,V008,INV/2512/768,2025-12-07,412000,62847,NEFT,EWB856925577688
T0045,V008,INV/2507/906,2025-07-08,808000,123254,NEFT,EWB108254120595
T0046,V008,INV/2601/333,2026-01-29,595000,90763,NEFT,EWB842483082133
T0047,V008,INV/2604/922,2026-04-24,68000,10373,NEFT,EWB960394367833
T0048,V009,INV/2603/542,2026-03-19,741000,113034,NEFT,EWB353689394624
T0049,V009,INV/2507/390,2025-07-16,97000,14797,NEFT,EWB683770636517
T0050,V009,INV/2511/834,2025-11-22,887000,135305,NEFT,EWB981944335571
T0051,V009,INV/2511/539,2025-11-09,775000,118220,NEFT,EWB769565834575
T0052,V009,INV/2512/348,2025-12-18,592000,90305,NEFT,EWB327669107376
T0053,V009,INV/2504/378,2025-04-20,400000,61017,NEFT,EWB906527254903
T0054,V010,INV/2601/673,2026-01-03,327000,49881,NEFT,EWB704520173047
T0055,V010,INV/2608/795,2026-08-17,820000,125085,NEFT,EWB404278281087
T0056,V010,INV/2508/118,2025-08-07,433000,66051,NEFT,EWB694239671688
T0057,V010,INV/2503/705,2025-03-15,277000,42254,NEFT,EWB173481201188
T0058,V010,INV/2606/204,2026-06-19,634000,96712,NEFT,EWB948190668872
T0059,V010,INV/2512/480,2025-12-07,788000,120203,NEFT,EWB985240568293
T0060,V010,INV/2508/940,2025-08-30,704000,107390,NEFT,EWB918905866732
T0061,V011,INV/2604/793,2026-04-29,814000,124169,NEFT,EWB780734198130
T0062,V011,INV/2608/317,2026-08-24,241000,36763,NEFT,EWB903237322248
T0063,V011,INV/2508/346,2025-08-28,536000,81763,NEFT,EWB847991512139
T0064,V011,INV/2605/758,2026-05-19,716000,109220,NEFT,EWB196751393773
T0065,V011,INV/2503/806,2025-03-01,315000,48051,NEFT,EWB886450388578
T0066,V011,INV/2510/502,2025-10-29,869000,132559,NEFT,EWB582371537922
T0067,V012,INV/2607/527,2026-07-14,439000,66966,NEFT,EWB590771390254
T0068,V012,INV/2505/903,2025-05-26,173000,26390,NEFT,EWB904448256731
T0069,V012,INV/2505/970,2025-05-17,695000,106017,NEFT,EWB936755159292
T0070,V012,INV/2505/423,2025-05-07,91000,13881,NEFT,EWB972724676404
T0071,V012,INV/2604/744,2026-04-14,361000,55068,NEFT,EWB275666582395
T0072,V012,INV/2505/601,2025-05-29,466000,71085,NEFT,EWB552851214581
T0073,V012,INV/2604/883,2026-04-21,725000,110593,NEFT,EWB110138641359
T0074,V013,INV/2608/188,2026-08-10,812000,123864,NEFT,EWB335588227280
T0075,V013,INV/2506/113,2025-06-02,756000,115322,NEFT,EWB736318331568
T0076,V013,INV/2512/532,2025-12-21,172000,26237,NEFT,EWB228388472796
T0077,V014,INV/2507/243,2025-07-17,323000,49271,NEFT,EWB352529165048
T0078,V014,INV/2510/412,2025-10-27,591000,90153,NEFT,EWB746022957367
T0079,V014,INV/2510/240,2025-10-02,487000,74288,NEFT,EWB611127387697
